title,actual_price,approved,item_description,item_category,item_images,item_stock,price,product_weight,sale_price
Sports Socks Puma SHORT CREW,12.37,yes,Keep fit and discover the sector's latest new releases to perform sports with the best guarantees! Purchase <b>Sports Socks Puma SHORT CREW</b> at the best price and enjoy a healthy life!<br><br><ul><li>Gender: <ul><li>Unisex</li><li>Adults unisex</li></ul></li><li>Material: <ul><li>74 % cotton</li><li>20 % Polyester</li><li>4 % Polyamide</li><li>2 % Elastane</li></ul></li><li>Includes: 3 pairs</li><li>Type: Socks</li><li>Colour: White</li><li>Characteristics: Machine washable</li></ul>,CatID:3293,"[""https://cdnbigbuy.com/images/5697_tallas-calcetines3.jpg"", ""https://cdnbigbuy.com/images/8713537871143_00_P03.jpg"", ""https://cdnbigbuy.com/images/8713537871235_0_P03.jpg""]",0,8.66,0.0,6.93
Ankle Sports Socks Puma SNEAKER,12.37,yes,Keep fit and discover the sector's latest new releases to perform sports with the best guarantees! Purchase <b>Ankle Sports Socks Puma SNEAKER</b> at the best price and enjoy a healthy life!<br><br><ul><li>Gender: <ul><li>Unisex</li><li>Men</li><li>Adults unisex</li></ul></li><li>Material: <ul><li>72 % cotton</li><li>24 % Polyester</li><li>3 % Polyamide</li><li>1 % Elastane</li></ul></li><li>Includes: 3 pairs</li><li>Type: Socks</li></ul>,CatID:3293,"[""https://cdnbigbuy.com/images/5698_tallas-calcetines2.jpg"", ""https://cdnbigbuy.com/images/8718824271194_0_P02.jpg""]",0,8.66,0.0,6.93
Ankle Sports Socks Puma SNEAKER (3 pairs) Grey Black Red Multicolour,12.37,yes,Keep fit and discover the sector's latest new releases to perform sports with the best guarantees! Purchase <b>Ankle Sports Socks Puma SNEAKER (3 pairs) Grey Black Red Multicolour</b> at the best price and enjoy a healthy life!<br><br><ul><li>Gender: <ul><li>Unisex</li><li>Men</li><li>Adults unisex</li></ul></li><li>Material: <ul><li>65 % cotton</li><li>33 % Polyamide</li><li>2 % Elastane</li><li>Cotton</li></ul></li><li>Includes: 3 pairs</li><li>Type: Socks</li><li>Colour: <ul><li>Black</li><li>Red</li><li>Grey</li></ul></li><li>Units: 100 Units</li></ul>,CatID:3293,"[""https://cdnbigbuy.com/images/3553231629412_0_P02.jpg"", ""https://cdnbigbuy.com/images/5699_tallas-calcetines2.jpg""]",0,8.66,0.0,6.93
Sports Socks Puma SPORT (3 Pairs) White,12.37,yes,Keep fit and discover the sector's latest new releases to perform sports with the best guarantees! Purchase <b>Sports Socks Puma SPORT (3 Pairs) White</b> at the best price and enjoy a healthy life!<br><br><ul><li>Gender: Unisex</li><li>Colour: White</li><li>Material: <ul><li>70  % cotton</li><li>25 %  Polyamide</li><li>3 % Elastane</li></ul></li><li>Includes: 3 pairs</li></ul>,CatID:3293,"[""https://cdnbigbuy.com/images/5700_tallas-calcetines2.jpg"", ""https://cdnbigbuy.com/images/8713537330015_0_P02.jpg"", ""https://cdnbigbuy.com/images/8713537330015_1_P12.jpg""]",0,8.66,0.0,6.93
Sports Socks Puma SPORT (3 pairs) White Grey Black Multicolour,12.37,yes,Keep fit and discover the sector's latest new releases to perform sports with the best guarantees! Purchase <b>Sports Socks Puma SPORT (3 pairs) White Grey Black Multicolour</b> at the best price and enjoy a healthy life!<br><br><ul><li>Gender: <ul><li>Unisex</li><li>Men</li></ul></li><li>Material: <ul><li>70 % cotton</li><li>25 % Polyamide</li><li>3 % Elastane</li></ul></li><li>Includes: 3 pairs</li><li>Type: Socks</li><li>Colour: <ul><li>White</li><li>Black</li><li>Grey</li></ul></li></ul>,CatID:3293,"[""https://cdnbigbuy.com/images/5701_tallas-calcetines4.jpg"", ""https://cdnbigbuy.com/images/8713537645669_0_P04.jpg""]",0,8.66,0.0,6.93
Children's Thermal T-shirt Sport Hg Eleven Black,25.0,yes,Keep fit and discover the sector's latest new releases to perform sports with the best guarantees! Purchase <b>Children's Thermal T-shirt Sport Hg Eleven Black</b> at the best price and enjoy a healthy life!<br><br><ul><li>Gender: Children's</li><li>Size: US</li><li>Material: Synthetic</li><li>Colour: Black</li><li>Type: Thermal T-shirt</li><li>Recommended age: Adults</li></ul>,CatID:3269,"[""https://cdnbigbuy.com/images/7900_tallas-camisetas-hombre2.jpg"", ""https://cdnbigbuy.com/images/7900_tallas-junior2.jpg"", ""https://cdnbigbuy.com/images/7900_tallas-mujeres2.jpg"", ""https://cdnbigbuy.com/images/8435536603418_0_P02.jpg""]",0,16.27,0.0,14.64
Children's Thermal T-shirt Sport Hg Hg-8090 Black,29.0,yes,Keep fit and discover the sector's latest new releases to perform sports with the best guarantees! Purchase <b>Children's Thermal T-shirt Sport Hg Hg-8090 Black</b> at the best price and enjoy a healthy life!<br><br><ul><li>Gender: <ul><li>Children's</li><li>Men</li><li>Adults unisex</li></ul></li><li>Size: US</li><li>Material: Synthetic</li><li>Neck: Circular</li><li>Type: <ul><li>Long sleeve</li><li>Thermal T-shirt</li></ul></li><li>Colour: Black</li><li>Country/Region of manufacture: Spain</li><li>Language: French</li><li>Approx. weight: <ul><li>120 g</li><li>300 gr</li></ul></li><li>Recommended age: Adults</li><li>Weight: 180 g</li></ul>,CatID:3269,"[""https://cdnbigbuy.com/images/7907_tallas-camisetas-hombre2.jpg"", ""https://cdnbigbuy.com/images/7907_tallas-junior2.jpg"", ""https://cdnbigbuy.com/images/7907_tallas-mujeres2.jpg"", ""https://cdnbigbuy.com/images/8435169874995_1_A02.jpg""]",0,18.72,0.0,16.85
Children's Thermal T-shirt Sport Hg Hg-8095 Black,29.0,yes,Keep fit and discover the sector's latest new releases to perform sports with the best guarantees! Purchase <b>Children's Thermal T-shirt Sport Hg Hg-8095 Black</b> at the best price and enjoy a healthy life!<br><br><ul><li>Gender: <ul><li>Children's</li><li>Men</li><li>Adults unisex</li></ul></li><li>Size: <ul><li>US</li><li>L</li></ul></li><li>Material: Synthetic</li><li>Type: <ul><li>Long sleeve</li><li>Thermal T-shirt</li></ul></li><li>Neck: Height</li><li>Colour: Black</li><li>Country/Region of manufacture: Spain</li><li>Approx. weight: <ul><li>120 g</li><li>300 gr</li></ul></li><li>Recommended age: <ul><li>Adults</li><li>Kids</li></ul></li></ul>,CatID:3269,"[""https://cdnbigbuy.com/images/7908_tallas-camisetas-hombre2.jpg"", ""https://cdnbigbuy.com/images/7908_tallas-junior2.jpg"", ""https://cdnbigbuy.com/images/7908_tallas-mujeres2.jpg"", ""https://cdnbigbuy.com/images/8435169875299_1_A02.jpg""]",0,18.72,0.0,16.85
Sports Outfit for Baby Reebok G ES Inf SJ SS Grey Blue,21.06,yes,"Children deserve the best, that's why we present to you <b>Sports Outfit for Baby Reebok G ES Inf SJ SS Grey Blue</b>, ideal for those who seek quality products for their little ones! Get <b>Reebok</b> and other brands and licences at the best prices!<br><br><ul><li>Gender: Baby</li><li>Colour: <ul><li>Blue</li><li>Grey</li></ul></li><li>Material: Polyester</li><li>Recommended age: Boys</li></ul>",CatID:3270,"[""https://cdnbigbuy.com/images/4057288985679_0_P02.jpg"", ""https://cdnbigbuy.com/images/6541_tallas-junior2.jpg""]",0,18.32,0.0,16.49
Baby's Tracksuit Reebok B ES Inf SJ SS,27.0,yes,Keep fit and discover the sector's latest new releases to perform sports with the best guarantees! Purchase <b>Baby's Tracksuit Reebok B ES Inf SJ SS</b> at the best price and enjoy a healthy life!<br><br><ul><li>Gender: Children</li><li>Material: <ul><li>50 % cotton</li><li>50 % Polyester</li><li>50% cotton and 50% polyester</li></ul></li><li>Colour: <ul><li>Blue</li><li>Grey</li></ul></li></ul>,CatID:3275,"[""https://cdnbigbuy.com/images/4058028364617_0_P02.jpg"", ""https://cdnbigbuy.com/images/8427_tallas-junior2.jpg"", ""https://cdnbigbuy.com/images/8427_tallas-mujeres2.jpg"", ""https://cdnbigbuy.com/images/8427_tallas-pantalones-hombre2.jpg""]",0,17.79,0.0,16.01
