title,actual_price,approved,item_description,item_category,item_images,item_stock,price,product_weight,sale_price
Child's Short Sleeve T-Shirt Levi's White,20.04,yes,"Children deserve the best, that's why we present to you <b>Child's Short Sleeve T-Shirt Levi's White</b>, ideal for those who seek quality products for their little ones! Get <b>Levi's</b> and other brands and licences at the best prices!<br><br><ul><li>Material: 100% cotton</li><li>Type: T-shirt</li><li>Colour: White</li><li>Gender: Men</li><li>Recommended age: Kids</li></ul>",CatID:2902,"[""https://cdnbigbuy.com/images/122330_tallas-junior2.jpg"", ""https://cdnbigbuy.com/images/3114438957946_S64121848_P02.jpg"", ""https://cdnbigbuy.com/images/3114438957946_S64121848_P12.jpg"", ""https://cdnbigbuy.com/images/3114438957946_S64121848_P22.jpg"", ""https://cdnbigbuy.com/images/3114438957946_S64121848_P32.jpg""]",0,14.03,0.0,11.22
Children's Pyjama Bluey Light Blue,14.99,yes,"Children deserve the best, that's why we present to you <b>Children's Pyjama Bluey Light Blue</b>, ideal for those who seek quality products for their little ones! Get <b>Bluey</b> and other brands and licences at the best prices!<br><br><ul><li>Type: Children's Pyjama</li><li>Includes: Toilet Bag</li><li>Colour: Light Blue</li><li>Gender: Children's</li><li>Material: 100% cotton</li></ul>",CatID:2902,"[""https://cdnbigbuy.com/images/31429_medidas-ropa-licencias2.jpg"", ""https://cdnbigbuy.com/images/8445484379150_S0739080_P02.jpg"", ""https://cdnbigbuy.com/images/8445484379150_S0739080_P12.jpg"", ""https://cdnbigbuy.com/images/8445484379150_S0739080_P22.jpg"", ""https://cdnbigbuy.com/images/8445484379150_S0739080_P32.jpg""]",8,8.53,0.0,6.82
Child's Short Sleeve T-Shirt Levi's TSCalifornia Grey,20.04,yes,"Children deserve the best, that's why we present to you <b>Child's Short Sleeve T-Shirt Levi's TSCalifornia Grey</b>, ideal for those who seek quality products for their little ones! Get <b>Levi's</b> and other brands and licences at the best prices!<br><br><ul><li>Type: T-shirt</li><li>Colour: Grey</li><li>Gender: Lady</li><li>Recommended age: Kids</li><li>Material: <ul><li>4 % Elastane</li><li>79% Cotton</li><li>17% Poliéster</li></ul></li></ul>",CatID:2902,"[""https://cdnbigbuy.com/images/122299_tallas-junior1.jpg"", ""https://cdnbigbuy.com/images/3114438958370_S64121852_P21.jpg"", ""https://cdnbigbuy.com/images/3114438958370_S64121852_P31.jpg"", ""https://cdnbigbuy.com/images/3114438958387_S64121849_P21.jpg"", ""https://cdnbigbuy.com/images/3114438958387_S64121849_P31.jpg"", ""https://cdnbigbuy.com/images/3114438958400_S64121851_P31.jpg""]",0,14.03,0.0,11.22
Children's Pyjama Minnie Mouse Pink,14.99,yes,"Children deserve the best, that's why we present to you <b>Children's Pyjama Minnie Mouse Pink</b>, ideal for those who seek quality products for their little ones! Get <b>Minnie Mouse</b> and other brands and licences at the best prices!<br><br><ul><li>Type: Children's Pyjama</li><li>Colour: Pink</li><li>Gender: Children's</li><li>Material: 100% cotton</li></ul>",CatID:2902,"[""https://cdnbigbuy.com/images/31432_medidas-ropa-licencias2.jpg"", ""https://cdnbigbuy.com/images/8445484380828_S0739094_P02.jpg"", ""https://cdnbigbuy.com/images/8445484380828_S0739094_P12.jpg"", ""https://cdnbigbuy.com/images/8445484380828_S0739094_P22.jpg"", ""https://cdnbigbuy.com/images/8445484380828_S0739094_P32.jpg""]",19,8.53,0.0,6.82
Children's Pyjama The Paw Patrol Blue,14.99,yes,"Children deserve the best, that's why we present to you <b>Children's Pyjama The Paw Patrol Blue</b>, ideal for those who seek quality products for their little ones! Get <b>The Paw Patrol</b> and other brands and licences at the best prices!<br><br><ul><li>Type: Children's Pyjama</li><li>Colour: Blue</li><li>Gender: Children's</li><li>Material: 100% cotton</li></ul>",CatID:2902,"[""https://cdnbigbuy.com/images/31435_medidas-ropa-licencias2.jpg"", ""https://cdnbigbuy.com/images/8445484383447_S0739109_P02.jpg"", ""https://cdnbigbuy.com/images/8445484383447_S0739109_P12.jpg"", ""https://cdnbigbuy.com/images/8445484383447_S0739109_P22.jpg"", ""https://cdnbigbuy.com/images/8445484383447_S0739109_P32.jpg""]",17,8.53,0.0,6.82
Children's Pyjama Spider-Man Red Blue,14.99,yes,"Children deserve the best, that's why we present to you <b>Children's Pyjama Spider-Man Red Blue</b>, ideal for those who seek quality products for their little ones! Get <b>Spider-Man</b> and other brands and licences at the best prices!<br><br><ul><li>Type: Children's Pyjama</li><li>Colour: <ul><li>Red</li><li>Blue</li></ul></li><li>Gender: Children's</li><li>Material: 100% cotton</li></ul>",CatID:2902,"[""https://cdnbigbuy.com/images/31434_medidas-ropa-licencias2.jpg"", ""https://cdnbigbuy.com/images/8445484383218_S0739102_P02.jpg"", ""https://cdnbigbuy.com/images/8445484383218_S0739102_P12.jpg"", ""https://cdnbigbuy.com/images/8445484383218_S0739102_P22.jpg"", ""https://cdnbigbuy.com/images/8445484383218_S0739102_P32.jpg""]",46,8.53,0.0,6.82
Children's Pyjama Mickey Mouse Blue,14.99,yes,"Children deserve the best, that's why we present to you <b>Children's Pyjama Mickey Mouse Blue</b>, ideal for those who seek quality products for their little ones! Get <b>Mickey Mouse</b> and other brands and licences at the best prices!<br><br><ul><li>Type: Children's Pyjama</li><li>Includes: Toilet Bag</li><li>Colour: Blue</li><li>Gender: Children's</li><li>Material: 100% cotton</li></ul>",CatID:2902,"[""https://cdnbigbuy.com/images/31430_medidas-ropa-licencias2.jpg"", ""https://cdnbigbuy.com/images/8445484380736_S0739084_P02.jpg"", ""https://cdnbigbuy.com/images/8445484380736_S0739084_P12.jpg"", ""https://cdnbigbuy.com/images/8445484380736_S0739084_P22.jpg"", ""https://cdnbigbuy.com/images/8445484380736_S0739084_P32.jpg""]",18,8.53,0.0,6.82
Children's Pyjama Spidey Red,14.99,yes,"Children deserve the best, that's why we present to you <b>Children's Pyjama Spidey Red</b>, ideal for those who seek quality products for their little ones! Get <b>Spidey</b> and other brands and licences at the best prices!<br><br><ul><li>Type: Children's Pyjama</li><li>Includes: Toilet Bag</li><li>Colour: Red</li><li>Gender: Children's</li><li>Material: 100% cotton</li></ul>",CatID:2902,"[""https://cdnbigbuy.com/images/31431_medidas-ropa-licencias2.jpg"", ""https://cdnbigbuy.com/images/8445484380798_S0739088_P02.jpg"", ""https://cdnbigbuy.com/images/8445484380798_S0739088_P12.jpg"", ""https://cdnbigbuy.com/images/8445484380798_S0739088_P22.jpg"", ""https://cdnbigbuy.com/images/8445484380798_S0739088_P32.jpg""]",1,8.53,0.0,6.82
Children's Pyjama Gabby's Dollhouse Pink,14.99,yes,"Children deserve the best, that's why we present to you <b>Children's Pyjama Gabby's Dollhouse Pink</b>, ideal for those who seek quality products for their little ones! Get <b>Gabby's Dollhouse</b> and other brands and licences at the best prices!<br><br><ul><li>Type: Children's Pyjama</li><li>Colour: Pink</li><li>Gender: Children's</li><li>Material: 100% cotton</li></ul>",CatID:2902,"[""https://cdnbigbuy.com/images/31433_medidas-ropa-licencias2.jpg"", ""https://cdnbigbuy.com/images/8445484380903_S0739092_P02.jpg"", ""https://cdnbigbuy.com/images/8445484380903_S0739092_P12.jpg"", ""https://cdnbigbuy.com/images/8445484380903_S0739092_P22.jpg"", ""https://cdnbigbuy.com/images/8445484380903_S0739092_P32.jpg""]",14,8.53,0.0,6.82
Child's Short Sleeve T-Shirt Vans Mini Scrip Black,20.09,yes,"If you are thinking of renewing your wardrobe, buy <b>Child's Short Sleeve T-Shirt Vans Mini Scrip Black</b> and other <b>Vans products</b>! The best quality at the best price is now within reach!<br><br><ul><li>Material: 100% cotton</li><li>Type: T-shirt</li><li>Colour: Black</li><li>Gender: Unisex</li><li>Recommended age: Kids</li></ul>",CatID:2964,"[""https://cdnbigbuy.com/images/0195438856876_S6488978_P01.jpg"", ""https://cdnbigbuy.com/images/122334_tallas-junior1.jpg""]",0,14.06,0.0,11.25
Child's Short Sleeve T-Shirt Jack & Jones Jxkora Loose White,15.5,yes,"If you are thinking of renewing your wardrobe, buy <b>Child's Short Sleeve T-Shirt Jack & Jones Jxkora Loose White</b> and other <b>Jack & Jones products</b>! The best quality at the best price is now within reach!<br><br><ul><li>Material: 100% cotton</li><li>Type: T-shirt</li><li>Colour: White</li><li>Gender: Lady</li><li>Recommended age: Adults</li></ul>",CatID:2964,"[""https://cdnbigbuy.com/images/122328_tallas-junior1.jpg"", ""https://cdnbigbuy.com/images/5715514161226_S64122225_P01.jpg""]",0,10.85,0.0,8.68
Baby's Tracksuit Puma Minicats Colorblockk Black Green,42.34,yes,Keep fit and discover the sector's latest new releases to perform sports with the best guarantees! Purchase <b>Baby's Tracksuit Puma Minicats Colorblockk Black Green</b> at the best price and enjoy a healthy life!<br><br><ul><li>Type: Tracksuit</li><li>Material: 70 % cotton and 30 % polyester</li><li>Colour: <ul><li>Black</li><li>Green</li></ul></li><li>Gender: Unisex</li><li>Recommended age: Babies</li></ul>,CatID:2902,"[""https://cdnbigbuy.com/images/122490_tallas-junior1.jpg"", ""https://cdnbigbuy.com/images/122490_tallas-mujeres1.jpg"", ""https://cdnbigbuy.com/images/122490_tallas-pantalones-hombre1.jpg"", ""https://cdnbigbuy.com/images/4099683778463_S64118265_P01.jpg"", ""https://cdnbigbuy.com/images/4099683778463_S64118265_P21.jpg""]",0,33.87,0.0,27.77
Children’s Jeans Levi's 511 Slim Red,47.99,yes,"If you are thinking of renewing your wardrobe, buy <b>Children’s Jeans Levi's 511 Slim Red</b> and other <b>Levi's products</b>! The best quality at the best price is now within reach!<br><br><ul><li>Colour: Red</li><li>Gender: Men</li><li>Recommended age: Kids</li><li>Material: 100% cotton</li></ul>",CatID:2980,"[""https://cdnbigbuy.com/images/3114439244472_S64121854_P01.jpg"", ""https://cdnbigbuy.com/images/3114439244472_S64121854_P11.jpg"", ""https://cdnbigbuy.com/images/3114439244496_S64121855_P01.jpg""]",0,38.39,0.0,31.48
Adult-sized Jacket Dickies Higginson chaqueta,69.86,yes,"If you are thinking of renewing your wardrobe, buy <b>Adult-sized Jacket Dickies Higginson chaqueta</b> and other <b>Dickies products</b>! The best quality at the best price is now within reach!",CatID:2985,"[""https://cdnbigbuy.com/images/0195440277034_S64118369_P01.jpg"", ""https://cdnbigbuy.com/images/0195440277034_S64118369_P21.jpg"", ""https://cdnbigbuy.com/images/0195440277034_S64118369_P31.jpg"", ""https://cdnbigbuy.com/images/0195440277034_S64118369_P41.jpg"", ""https://cdnbigbuy.com/images/0195440277034_S64118369_P51.jpg"", ""https://cdnbigbuy.com/images/0195440277034_S64118369_P61.jpg"", ""https://cdnbigbuy.com/images/0195440277201_S64118368_P01.jpg"", ""https://cdnbigbuy.com/images/0195440277201_S64118368_P21.jpg"", ""https://cdnbigbuy.com/images/0195440277201_S64118368_P31.jpg"", ""https://cdnbigbuy.com/images/0195440277201_S64118368_P41.jpg"", ""https://cdnbigbuy.com/images/0195440277201_S64118368_P51.jpg"", ""https://cdnbigbuy.com/images/0195440277201_S64118368_P61.jpg"", ""https://cdnbigbuy.com/images/0195440277577_S64118370_P01.jpg"", ""https://cdnbigbuy.com/images/122488_tallas-camisetas-hombre1.jpg""]",0,55.89,0.0,45.83
Children’s Jeans Levi's 511 Slim Yellow,47.99,yes,"If you are thinking of renewing your wardrobe, buy <b>Children’s Jeans Levi's 511 Slim Yellow</b> and other <b>Levi's products</b>! The best quality at the best price is now within reach!<br><br><ul><li>Colour: Yellow</li><li>Gender: Men</li><li>Recommended age: Kids</li><li>Material: 100% cotton</li></ul>",CatID:2980,"[""https://cdnbigbuy.com/images/3114439244779_S64121858_P21.jpg"", ""https://cdnbigbuy.com/images/3114439244779_S64121858_P31.jpg""]",0,38.39,0.0,31.48
Dress 24COLOURS Light grey,39.21,yes,Keep fit and discover the sector's latest new releases to perform sports with the best guarantees! Purchase <b>Dress 24COLOURS Light grey</b> at the best price and enjoy a healthy life!<br><br><ul><li>Type: Dress</li><li>Material: Polyester</li><li>Colour: Light grey</li><li>Gender: Lady</li><li>Recommended age: Adults</li></ul>,CatID:2971,"[""https://cdnbigbuy.com/images/4059716381633_S64120039_P01.jpg"", ""https://cdnbigbuy.com/images/4059716381633_S64120039_P21.jpg"", ""https://cdnbigbuy.com/images/4059716381640_S64120040_P01.jpg"", ""https://cdnbigbuy.com/images/4059716381640_S64120040_P21.jpg"", ""https://cdnbigbuy.com/images/4059716381657_S64120041_P01.jpg"", ""https://cdnbigbuy.com/images/4059716381657_S64120041_P21.jpg""]",0,31.37,0.0,25.72
Men’s Short Sleeve T-Shirt Ellesse  Flecta,28.12,yes,Keep fit and discover the sector's latest new releases to perform sports with the best guarantees! Purchase <b>Men’s Short Sleeve T-Shirt Ellesse  Flecta</b> at the best price and enjoy a healthy life!<br><br><ul><li>Type: Short Sleeve T-Shirt</li><li>Material: 100% cotton</li><li>Gender: Men</li><li>Recommended age: Adults</li></ul>,CatID:3269,"[""https://cdnbigbuy.com/images/122717_tallas-camisetas-hombre2.jpg"", ""https://cdnbigbuy.com/images/5063061031487_S64122665_P02.jpg"", ""https://cdnbigbuy.com/images/5063061031487_S64122665_P22.jpg"", ""https://cdnbigbuy.com/images/5063061031487_S64122665_P32.jpg"", ""https://cdnbigbuy.com/images/5063061031487_S64122665_P42.jpg"", ""https://cdnbigbuy.com/images/5063061031494_S64122664_P02.jpg"", ""https://cdnbigbuy.com/images/5063061031494_S64122664_P22.jpg"", ""https://cdnbigbuy.com/images/5063061031494_S64122664_P32.jpg"", ""https://cdnbigbuy.com/images/5063061031494_S64122664_P42.jpg"", ""https://cdnbigbuy.com/images/5063061031500_S64122663_P02.jpg"", ""https://cdnbigbuy.com/images/5063061031500_S64122663_P22.jpg"", ""https://cdnbigbuy.com/images/5063061031500_S64122663_P32.jpg"", ""https://cdnbigbuy.com/images/5063061031500_S64122663_P42.jpg"", ""https://cdnbigbuy.com/images/5063061031517_S64122666_P02.jpg"", ""https://cdnbigbuy.com/images/5063061031517_S64122666_P22.jpg"", ""https://cdnbigbuy.com/images/5063061031517_S64122666_P32.jpg"", ""https://cdnbigbuy.com/images/5063061031517_S64122666_P42.jpg""]",0,21.09,0.0,17.08
Men’s Short Sleeve T-Shirt Ellesse Dyne Black,29.15,yes,Keep fit and discover the sector's latest new releases to perform sports with the best guarantees! Purchase <b>Men’s Short Sleeve T-Shirt Ellesse Dyne Black</b> at the best price and enjoy a healthy life!<br><br><ul><li>Type: Short Sleeve T-Shirt</li><li>Material: 100% cotton</li><li>Colour: Black</li><li>Gender: Men</li><li>Recommended age: Adults</li></ul>,CatID:3269,"[""https://cdnbigbuy.com/images/122683_tallas-camisetas-hombre1.jpg"", ""https://cdnbigbuy.com/images/5059335372486_S6489100_P01.jpg"", ""https://cdnbigbuy.com/images/5059335372493_S6489097_P01.jpg"", ""https://cdnbigbuy.com/images/5059335372509_S6489098_P01.jpg"", ""https://cdnbigbuy.com/images/5059335372516_S6489099_P01.jpg""]",0,21.86,0.0,17.71
Men’s Short Sleeve T-Shirt Ellesse  Flecta,25.31,yes,Keep fit and discover the sector's latest new releases to perform sports with the best guarantees! Purchase <b>Men’s Short Sleeve T-Shirt Ellesse  Flecta</b> at the best price and enjoy a healthy life!<br><br><ul><li>Type: Short Sleeve T-Shirt</li><li>Material: 100% cotton</li><li>Gender: Men</li><li>Recommended age: Adults</li></ul>,CatID:3269,"[""https://cdnbigbuy.com/images/122718_tallas-camisetas-hombre1.jpg"", ""https://cdnbigbuy.com/images/5063061031562_S64122667_P01.jpg"", ""https://cdnbigbuy.com/images/5063061031562_S64122667_P21.jpg"", ""https://cdnbigbuy.com/images/5063061031562_S64122667_P31.jpg""]",0,18.98,0.0,15.37
Men’s Short Sleeve T-Shirt Ellesse Malbe  Grey,54.59,yes,Keep fit and discover the sector's latest new releases to perform sports with the best guarantees! Purchase <b>Men’s Short Sleeve T-Shirt Ellesse Malbe  Grey</b> at the best price and enjoy a healthy life!<br><br><ul><li>Type: Short Sleeve T-Shirt</li><li>Material: <ul><li>100% cotton</li><li>100 % polyester</li></ul></li><li>Colour: Grey</li><li>Gender: Men</li><li>Recommended age: Adults</li></ul>,CatID:3269,"[""https://cdnbigbuy.com/images/122690_tallas-camisetas-hombre1.jpg"", ""https://cdnbigbuy.com/images/5059335227298_S6489145_P01.jpg"", ""https://cdnbigbuy.com/images/5059335227298_S6489145_P11.jpg"", ""https://cdnbigbuy.com/images/5059335227298_S6489145_P21.jpg"", ""https://cdnbigbuy.com/images/5059335227298_S6489145_P31.jpg""]",0,27.15,0.0,21.99
Men’s Short Sleeve T-Shirt Ellesse Malbe  Blue,47.85,yes,Keep fit and discover the sector's latest new releases to perform sports with the best guarantees! Purchase <b>Men’s Short Sleeve T-Shirt Ellesse Malbe  Blue</b> at the best price and enjoy a healthy life!<br><br><ul><li>Type: Short Sleeve T-Shirt</li><li>Material: <ul><li>100% cotton</li><li>100 % polyester</li></ul></li><li>Colour: Blue</li><li>Gender: Men</li><li>Recommended age: Adults</li></ul>,CatID:3269,"[""https://cdnbigbuy.com/images/122691_tallas-camisetas-hombre1.jpg"", ""https://cdnbigbuy.com/images/5059335227410_S6489149_P01.jpg"", ""https://cdnbigbuy.com/images/5059335227410_S6489149_P11.jpg"", ""https://cdnbigbuy.com/images/5059335227410_S6489149_P21.jpg"", ""https://cdnbigbuy.com/images/5059335227410_S6489149_P31.jpg""]",0,29.4,0.0,23.81
Men’s Short Sleeve T-Shirt Ellesse Dyne  Grey,72.52,yes,Keep fit and discover the sector's latest new releases to perform sports with the best guarantees! Purchase <b>Men’s Short Sleeve T-Shirt Ellesse Dyne  Grey</b> at the best price and enjoy a healthy life!<br><br><ul><li>Type: Short Sleeve T-Shirt</li><li>Material: 100% cotton</li><li>Colour: Grey</li><li>Gender: Men</li><li>Recommended age: Adults</li></ul>,CatID:3269,"[""https://cdnbigbuy.com/images/122694_tallas-camisetas-hombre2.jpg"", ""https://cdnbigbuy.com/images/5059335372547_S6489163_P02.jpg"", ""https://cdnbigbuy.com/images/5059335372554_S6489160_P02.jpg"", ""https://cdnbigbuy.com/images/5059335372561_S6489161_P02.jpg"", ""https://cdnbigbuy.com/images/5059335372578_S6489162_P02.jpg""]",0,56.0,0.0,45.92
Men’s Short Sleeve T-Shirt Ellesse  Dritto,22.27,yes,Keep fit and discover the sector's latest new releases to perform sports with the best guarantees! Purchase <b>Men’s Short Sleeve T-Shirt Ellesse  Dritto</b> at the best price and enjoy a healthy life!<br><br><ul><li>Type: Short Sleeve T-Shirt</li><li>Material: 100% cotton</li><li>Gender: Men</li><li>Recommended age: Adults</li></ul>,CatID:3269,"[""https://cdnbigbuy.com/images/122713_tallas-camisetas-hombre1.jpg"", ""https://cdnbigbuy.com/images/5059732729128_S64122648_P01.jpg"", ""https://cdnbigbuy.com/images/5059732729128_S64122648_P21.jpg"", ""https://cdnbigbuy.com/images/5059732729128_S64122648_P31.jpg"", ""https://cdnbigbuy.com/images/5059732729128_S64122648_P41.jpg"", ""https://cdnbigbuy.com/images/5059732729128_S64122648_P51.jpg""]",0,16.7,0.0,13.53
Men’s Short Sleeve T-Shirt Ellesse  Dritto,22.27,yes,Keep fit and discover the sector's latest new releases to perform sports with the best guarantees! Purchase <b>Men’s Short Sleeve T-Shirt Ellesse  Dritto</b> at the best price and enjoy a healthy life!<br><br><ul><li>Type: Short Sleeve T-Shirt</li><li>Material: 100% cotton</li><li>Gender: Men</li><li>Recommended age: Adults</li></ul>,CatID:3269,"[""https://cdnbigbuy.com/images/122714_tallas-camisetas-hombre1.jpg"", ""https://cdnbigbuy.com/images/5059732729180_S64122652_P01.jpg"", ""https://cdnbigbuy.com/images/5059732729180_S64122652_P21.jpg"", ""https://cdnbigbuy.com/images/5059732729180_S64122652_P41.jpg""]",0,16.7,0.0,13.53
Child's Short Sleeve T-Shirt The Lion King White,9.99,yes,"If you are thinking of renewing your wardrobe, buy <b>Child's Short Sleeve T-Shirt The Lion King White</b> and other <b>The Lion King products</b>! The best quality at the best price is now within reach!<br><br><ul><li>Type: T-shirt</li><li>Colour: White</li><li>Gender: Children's</li><li>Material: 100% cotton</li></ul>",CatID:2964,"[""https://cdnbigbuy.com/images/8445484379419_S0739247_P00.jpg"", ""https://cdnbigbuy.com/images/8445484379419_S0739247_P10.jpg"", ""https://cdnbigbuy.com/images/8445484379419_S0739247_P20.jpg"", ""https://cdnbigbuy.com/images/8445484379419_S0739247_P30.jpg"", ""https://cdnbigbuy.com/images/8445484379419_S0739247_P40.jpg""]",2,6.2,0.0,4.65
Men's Boxer Shorts Puma BASIC 701226387 002 2 Units Black,21.0,yes,"If you are thinking of renewing your wardrobe, buy <b>Men's Boxer Shorts Puma BASIC 701226387 002 2 Units Black</b> and other <b>Puma products</b>! The best quality at the best price is now within reach!<br><br><ul><li>Units: 2 Units</li><li>Type: Boxer</li><li>Colour: Black</li><li>Gender: Men</li><li>Material: 100% cotton</li></ul>",CatID:2575,"[""https://cdnbigbuy.com/images/8720245555937_R01.jpg"", ""https://cdnbigbuy.com/images/8720245555937_R11.jpg"", ""https://cdnbigbuy.com/images/8720245555951_S2029336_P01.jpg""]",0,13.82,0.0,12.44
Men's Boxer Shorts Puma EVERRYDAY BASIC 701226387 018 2 Units Green Black,21.0,yes,"If you are thinking of renewing your wardrobe, buy <b>Men's Boxer Shorts Puma EVERRYDAY BASIC 701226387 018 2 Units Green Black</b> and other <b>Puma products</b>! The best quality at the best price is now within reach!<br><br><ul><li>Units: 2 Units</li><li>Colour: <ul><li>Green</li><li>Black</li></ul></li><li>Type: Boxer</li><li>Gender: Men</li><li>Material: 100% cotton</li></ul>",CatID:2575,"[""https://cdnbigbuy.com/images/8720245556675_R01.jpg"", ""https://cdnbigbuy.com/images/8720245556675_R11.jpg"", ""https://cdnbigbuy.com/images/8720245556682_S2029344_P01.jpg""]",0,13.82,0.0,12.44
Short Sleeve T-Shirt Back to the Future Poster Black Unisex,40.7,yes,"If you are thinking of renewing your wardrobe, buy <b>Short Sleeve T-Shirt Back to the Future Poster Black Unisex</b> and other <b>Back to the Future products</b>! The best quality at the best price is now within reach!<br><br><ul><li>Type: <ul><li>Short Sleeve T-Shirt</li><li>Short hose</li></ul></li><li>Colour: Black</li><li>Gender: Unisex</li><li>Material: 100% cotton</li></ul>",CatID:2964,"[""https://cdnbigbuy.com/images/496_D08_Heroes_UnisexShirt_V23.jpg"", ""https://cdnbigbuy.com/images/5055910371691_R03.jpg""]",0,28.49,0.0,21.37
Short Sleeve T-Shirt Stitch Wild Energy Graphite Unisex,40.7,yes,"If you are thinking of renewing your wardrobe, buy <b>Short Sleeve T-Shirt Stitch Wild Energy Graphite Unisex</b> and other <b>Stitch products</b>! The best quality at the best price is now within reach!<br><br><ul><li>Type: <ul><li>Short Sleeve T-Shirt</li><li>Short hose</li></ul></li><li>Colour: Graphite</li><li>Gender: Unisex</li><li>Material: 100% cotton</li></ul>",CatID:2964,"[""https://cdnbigbuy.com/images/493_D08_Heroes_UnisexShirt_V21.jpg"", ""https://cdnbigbuy.com/images/5056688526085_R01.jpg""]",0,28.49,0.0,21.37
Short Sleeve T-Shirt Gremlins Homeage Style Black Unisex,40.7,yes,"If you are thinking of renewing your wardrobe, buy <b>Short Sleeve T-Shirt Gremlins Homeage Style Black Unisex</b> and other <b>Gremlins products</b>! The best quality at the best price is now within reach!<br><br><ul><li>Type: <ul><li>Short Sleeve T-Shirt</li><li>Short hose</li></ul></li><li>Colour: Black</li><li>Gender: Unisex</li><li>Material: 100% cotton</li></ul>",CatID:2964,"[""https://cdnbigbuy.com/images/494_D08_Heroes_UnisexShirt_V21.jpg"", ""https://cdnbigbuy.com/images/5055910379758_R01.jpg"", ""https://cdnbigbuy.com/images/5055910379758_R31.jpg""]",0,28.49,0.0,21.37
Short Sleeve T-Shirt Deadpool Tattoo Style Red Unisex,40.7,yes,"If you are thinking of renewing your wardrobe, buy <b>Short Sleeve T-Shirt Deadpool Tattoo Style Red Unisex</b> and other <b>Deadpool products</b>! The best quality at the best price is now within reach!<br><br><ul><li>Type: <ul><li>Short Sleeve T-Shirt</li><li>Short hose</li></ul></li><li>Colour: Red</li><li>Gender: Unisex</li><li>Material: 100% cotton</li></ul>",CatID:2964,"[""https://cdnbigbuy.com/images/495_D08_Heroes_UnisexShirt_V21.jpg"", ""https://cdnbigbuy.com/images/5056688524890_R01.jpg""]",1,28.49,0.0,21.37
Unisex Hoodie Stitch Script Black,81.91,yes,"If you are thinking of renewing your wardrobe, buy <b>Unisex Hoodie Stitch Script Black</b> and other <b>Stitch products</b>! The best quality at the best price is now within reach!<br><br><ul><li>Type: <ul><li>Hoodie</li><li>Long sleeve</li></ul></li><li>Colour: Black</li><li>Gender: Unisex</li><li>Material: <ul><li>50 % Polyester</li><li>50 % cotton</li></ul></li></ul>",CatID:3294,"[""https://cdnbigbuy.com/images/488_D08_Heroes_SudaderaCapuchaUnisexAdulto1.jpg"", ""https://cdnbigbuy.com/images/5056688502720_R01.jpg""]",0,61.43,0.0,49.14
Ankle Sports Socks Puma 18739 Black,9.44,yes,"If you are thinking of renewing your wardrobe, buy <b>Ankle Sports Socks Puma 18739 Black</b> and other <b>Puma products</b>! The best quality at the best price is now within reach!<br><br><ul><li>Gender: <ul><li>Children's</li><li>Unisex</li></ul></li><li>Material: 90% cotton and 10% spandex</li><li>Includes: 3 pairs</li><li>Type: Socks</li><li>Colour: Black</li><li>Characteristics: Machine washable</li></ul>",CatID:3293,"[""https://cdnbigbuy.com/images/120920_tallas-calcetines1.jpg"", ""https://cdnbigbuy.com/images/8718824618005_S6454668_P01.jpg"", ""https://cdnbigbuy.com/images/S6454668_621612_1707824299-cropped1.jpg""]",0,6.61,0.0,4.96
Dress Minnie Mouse Pink,20.99,yes,"Children deserve the best, that's why we present to you <b>Dress Minnie Mouse Pink</b>, ideal for those who seek quality products for their little ones! Get <b>Minnie Mouse</b> and other brands and licences at the best prices!<br><br><ul><li>Type: Dress</li><li>Gender: Children's</li><li>Colour: Pink</li><li>Material: 100% cotton</li></ul>",CatID:2902,"[""https://cdnbigbuy.com/images/31844_medidas-ropa-licencias1.jpg"", ""https://cdnbigbuy.com/images/8445484373455_S0739346_P01.jpg"", ""https://cdnbigbuy.com/images/8445484373455_S0739346_P11.jpg"", ""https://cdnbigbuy.com/images/8445484373455_S0739346_P21.jpg"", ""https://cdnbigbuy.com/images/8445484373455_S0739346_P31.jpg"", ""https://cdnbigbuy.com/images/8445484373455_S0739346_P41.jpg"", ""https://cdnbigbuy.com/images/8445484373455_S0739346_P51.jpg""]",25,12.16,0.0,9.73
Child's Short Sleeve T-Shirt Bluey White,9.99,yes,"Children deserve the best, that's why we present to you <b>Child's Short Sleeve T-Shirt Bluey White</b>, ideal for those who seek quality products for their little ones! Get <b>Bluey</b> and other brands and licences at the best prices!<br><br><ul><li>Type: T-shirt</li><li>Gender: Children's</li><li>Colour: White</li><li>Material: 100% cotton</li></ul>",CatID:2902,"[""https://cdnbigbuy.com/images/31845_medidas-ropa-licencias1.jpg"", ""https://cdnbigbuy.com/images/8445484379327_S0738682_P01.jpg"", ""https://cdnbigbuy.com/images/8445484379327_S0738682_P21.jpg"", ""https://cdnbigbuy.com/images/8445484379327_S0738682_P31.jpg"", ""https://cdnbigbuy.com/images/8445484379327_S0738682_P41.jpg"", ""https://cdnbigbuy.com/images/8445484379365_S0738683_P41.jpg""]",1,6.2,0.0,4.65
